date,state_name,state_code,region,wind_energy,solar_energy,other_renewable_energy,total_renewable_energy
2019-10-30,All India,99,Unknown,100.68,74.39,19.27,194.34
2019-10-31,All India,99,Unknown,95.87,90.39,16.62,215.37
2019-11-01,All India,99,Unknown,79.35,105.02,22.41,206.78
2019-11-02,All India,99,Unknown,48.78,102.92,21.39,173.09
2019-11-03,All India,99,Unknown,26.13,104.39,20.46,150.98
2019-11-04,All India,99,Unknown,14.53,135.51,20.34,170.38
2019-11-05,All India,99,Unknown,18.62,138.44,20.99,178.05
2019-11-06,All India,99,Unknown,27.66,128.26,22.37,178.29
2019-11-07,All India,99,Unknown,55.98,127.95,22.67,206.6
2019-11-08,All India,99,Unknown,129.53,122.9,21.53,273.96
2019-11-09,All India,99,Unknown,113.62,130.23,22.23,266.08
2019-11-10,All India,99,Unknown,71.81,131.58,24.27,227.66
2019-11-11,All India,99,Unknown,47.94,132.41,31.17,211.52
2019-11-12,All India,99,Unknown,62.11,129.34,29.12,220.57
2019-11-13,All India,99,Unknown,83.95,118.37,28.41,230.73
2019-11-14,All India,99,Unknown,89.46,94.71,36.68,220.85
2019-11-15,All India,99,Unknown,75.51,101.64,35.72,212.87
2019-11-16,All India,99,Unknown,81.59,118.63,35.19,235.41
2019-11-17,All India,99,Unknown,106.8,134.7,37.78,279.28
2019-11-18,All India,99,Unknown,85.89,125.19,39.66,250.74
2019-11-19,All India,99,Unknown,45.85,112.65,40.06,198.56
2019-11-20,All India,99,Unknown,61.84,128.48,40.31,230.63
2019-11-23,All India,99,Unknown,112.02,137.07,40.73,289.82
2019-11-24,All India,99,Unknown,102.17,132.91,38.84,273.92
2019-11-25,All India,99,Unknown,107.37,139.51,39.77,286.65
2019-11-26,All India,99,Unknown,153.44,119.55,39.66,312.65
2019-11-27,All India,99,Unknown,153.26,122.53,63.94,339.73
2019-11-28,All India,99,Unknown,157.95,115.29,45.4,318.64
2019-11-29,All India,99,Unknown,154.9,117.43,45.1,317.43
2019-11-30,All India,99,Unknown,151.14,113.43,44.97,309.54
2019-12-01,All India,99,Unknown,113.14,86.28,46.32,245.74
2019-12-02,All India,99,Unknown,132.68,89.01,44.97,266.66
2019-12-03,All India,99,Unknown,157.52,97.05,46.7,301.27
2019-12-04,All India,99,Unknown,154.95,115.71,45.21,315.87
2019-12-05,All India,99,Unknown,141.07,112.61,46.04,299.72
2019-12-06,All India,99,Unknown,152.5,105.68,46.95,305.13
2019-12-07,All India,99,Unknown,147.05,121.56,47.14,315.75
2019-12-08,All India,99,Unknown,125.32,111.59,47.27,284.18
2019-12-09,All India,99,Unknown,108.17,126.79,47.21,282.17
2019-12-10,All India,99,Unknown,68.62,125.2,45.89,239.71
2019-12-11,All India,99,Unknown,44.61,120.89,49.75,215.25
2019-12-12,All India,99,Unknown,75.06,109.56,49.77,234.39
2019-12-13,All India,99,Unknown,70.0,124.54,49.35,243.89
2019-12-14,All India,99,Unknown,82.73,116.25,48.63,247.61
2019-12-15,All India,99,Unknown,149.99,117.85,47.89,315.73
2019-12-16,All India,99,Unknown,168.96,131.77,48.91,349.64
2019-12-17,All India,99,Unknown,196.12,122.82,48.89,367.83
2019-12-18,All India,99,Unknown,142.64,119.44,48.89,310.97
2019-12-19,All India,99,Unknown,112.66,124.18,48.45,285.29
2019-12-20,All India,99,Unknown,58.7,120.47,50.33,229.5
2019-12-23,All India,99,Unknown,137.4,125.2,50.35,312.95
2019-12-24,All India,99,Unknown,121.72,124.03,50.96,296.71
2019-12-26,All India,99,Unknown,81.68,113.94,49.18,244.8
2019-12-27,All India,99,Unknown,109.36,135.47,50.14,294.97
2019-12-28,All India,99,Unknown,144.94,132.36,50.72,328.02
2019-12-29,All India,99,Unknown,134.65,126.56,50.12,311.33
2019-12-30,All India,99,Unknown,123.19,126.98,49.64,299.81
2019-12-31,All India,99,Unknown,110.69,108.7,50.63,270.02
2020-01-01,All India,99,Unknown,135.45,114.27,48.55,298.27
2020-01-02,All India,99,Unknown,102.16,111.18,48.61,261.95
2020-01-03,All India,99,Unknown,72.79,121.46,48.89,243.14
2020-01-04,All India,99,Unknown,56.86,124.75,49.83,231.44
2020-01-05,All India,99,Unknown,95.31,115.45,48.39,259.15
2020-01-06,All India,99,Unknown,134.49,109.16,48.93,292.58
2020-01-07,All India,99,Unknown,111.88,100.69,49.41,261.98
2020-01-08,All India,99,Unknown,93.8,123.64,48.3,265.74
2020-01-09,All India,99,Unknown,114.03,143.55,44.74,302.32
2020-01-11,All India,99,Unknown,140.83,146.65,47.86,335.34
2020-01-12,All India,99,Unknown,91.11,140.56,48.38,280.05
2020-01-13,All India,99,Unknown,66.49,131.88,49.27,247.64
2020-01-14,All India,99,Unknown,47.46,152.11,48.89,248.46
2020-01-15,All India,99,Unknown,101.83,153.94,50.01,305.78
2020-01-16,All India,99,Unknown,102.68,148.65,48.69,300.02
2020-01-17,All India,99,Unknown,60.03,147.06,49.3,256.39
2020-01-18,All India,99,Unknown,84.38,141.06,49.27,274.71
2020-01-19,All India,99,Unknown,130.52,140.31,48.76,319.59
2020-01-20,All India,99,Unknown,99.88,140.23,50.08,290.19
2020-01-21,All India,99,Unknown,111.01,154.02,47.42,312.45
2020-01-22,All India,99,Unknown,218.51,154.34,53.57,426.42
2020-01-23,All India,99,Unknown,193.72,146.61,57.94,398.27
2020-01-24,All India,99,Unknown,115.51,162.99,50.04,328.54
2020-01-25,All India,99,Unknown,53.53,154.7,50.2,258.43
2020-01-26,All India,99,Unknown,43.09,157.21,50.8,251.1
2020-01-27,All India,99,Unknown,93.41,143.8,49.21,286.42
2020-01-28,All India,99,Unknown,106.6,138.27,49.11,293.98
2020-01-29,All India,99,Unknown,52.18,141.33,55.19,248.7
2020-01-30,All India,99,Unknown,60.58,164.92,42.47,267.97
2020-01-31,All India,99,Unknown,127.4,168.11,42.15,337.66
2020-02-01,All India,99,Unknown,109.29,162.13,43.51,314.93
2020-02-02,All India,99,Unknown,160.01,150.31,49.72,360.04
2020-03-02,All India,99,Unknown,72.31,156.74,36.23,265.28
2020-03-16,All India,99,Unknown,145.33,167.54,39.6,352.47
2020-03-17,All India,99,Unknown,126.49,168.64,34.59,329.72
2020-03-18,All India,99,Unknown,83.04,177.53,33.8,294.37
2020-03-19,All India,99,Unknown,71.19,163.3,37.8,272.29
2020-03-20,All India,99,Unknown,125.83,166.89,35.37,328.09
2020-04-01,All India,99,Unknown,97.47,170.7,40.87,309.04
2020-04-02,All India,99,Unknown,85.98,178.02,38.06,302.06
2020-04-03,All India,99,Unknown,101.09,174.21,37.57,312.87
2020-04-04,All India,99,Unknown,81.64,159.92,39.74,281.3
2020-04-05,All India,99,Unknown,103.88,156.53,40.08,300.49
2020-04-06,All India,99,Unknown,87.36,156.26,40.33,283.95
2020-04-07,All India,99,Unknown,121.6,150.25,39.89,311.74
2020-04-08,All India,99,Unknown,100.19,166.21,38.48,304.88
2020-04-09,All India,99,Unknown,91.08,159.12,39.05,289.25
2020-04-10,All India,99,Unknown,80.02,163.53,36.92,280.47
2020-04-11,All India,99,Unknown,76.05,171.7,36.8,284.55
2020-04-12,All India,99,Unknown,92.35,163.24,40.49,296.08
2020-04-13,All India,99,Unknown,126.27,159.71,41.34,327.32
2020-04-14,All India,99,Unknown,133.72,155.34,39.96,329.02
2020-04-16,All India,99,Unknown,112.54,150.12,41.26,303.92
2020-04-17,All India,99,Unknown,117.24,151.03,41.57,309.84
2020-04-18,All India,99,Unknown,112.38,160.61,38.98,311.97
2020-04-19,All India,99,Unknown,109.53,159.58,38.73,307.84
2020-04-20,All India,99,Unknown,128.52,149.44,40.71,318.67
2020-04-21,All India,99,Unknown,80.62,163.61,39.88,284.11
2020-04-22,All India,99,Unknown,105.79,157.92,39.33,303.04
2020-04-23,All India,99,Unknown,142.15,155.8,39.52,337.47
2020-04-24,All India,99,Unknown,172.47,152.66,38.5,363.63
2020-04-25,All India,99,Unknown,195.64,165.04,38.92,399.6
2020-04-26,All India,99,Unknown,110.56,160.6,39.31,310.47
2020-04-27,All India,99,Unknown,123.32,169.62,38.87,331.81
2020-04-28,All India,99,Unknown,92.61,154.94,42.5,290.05
2020-04-29,All India,99,Unknown,97.15,136.56,43.43,277.14
2020-04-30,All India,99,Unknown,107.39,152.49,43.79,303.67
2020-05-01,All India,99,Unknown,152.44,162.48,39.72,354.64
2020-05-02,All India,99,Unknown,162.85,171.34,36.59,370.78
